model,dialect,STEM,Other,Social Science,Humanities,Bigbench
gpt3,sae,0.6322222222222222,0.7171428571428572,0.7083333333333334,0.6630769230769231,0.45236309077269315
gpt3,aave,0.5744444444444444,0.63,0.6283333333333333,0.5876923076923077,0.4088522130532633
gpt4,sae,0.8211111111111111,0.8285714285714286,0.8533333333333334,0.8046153846153846,0.6384096024006002
gpt4,aave,0.7455555555555555,0.7357142857142858,0.7116666666666667,0.6876923076923077,0.6204051012753188
llama3.1,sae,0.6311111111111111,0.6828571428571428,0.67,0.6523076923076923,0.41335333833458365
llama3.1,aave,0.5444444444444444,0.5171428571428571,0.5483333333333333,0.5061538461538462,0.38484621155288823
llama3.2,sae,0.5311111111111111,0.58,0.61,0.5892307692307692,0.34349030470914127
llama3.2,aave,0.46111111111111114,0.49857142857142855,0.5016666666666667,0.47384615384615386,0.3360840210052513
qwen,aave,0.6455555555555555,0.6328571428571429,0.6483333333333333,0.5707692307692308,0.4778694673668417
qwen,sae,0.7377777777777778,0.7271428571428571,0.7466666666666667,0.6861538461538461,0.5423855963990998
gemma,sae,0.68,0.7357142857142858,0.7666666666666667,0.6707692307692308,0.46661665416354087
gemma,aave,0.5922222222222222,0.6142857142857143,0.6133333333333333,0.5661538461538461,0.39984996249062266
mistral,sae,0.47444444444444445,0.5585714285714286,0.57,0.5323076923076923,0.46661665416354087
mistral,aave,0.43666666666666665,0.47,0.5116666666666667,0.48923076923076925,0.39984996249062266
