,model,grade,question,frequency
0,gemma2,5th grade,SAE Questions,9
1,gemma2,5th grade,AAVE Questions,34
2,gemma2,6th grade,SAE Questions,63
3,gemma2,6th grade,AAVE Questions,210
4,gemma2,7th grade,SAE Questions,221
5,gemma2,7th grade,AAVE Questions,617
6,gemma2,8th & 9th grade,SAE Questions,455
7,gemma2,8th & 9th grade,AAVE Questions,813
8,gemma2,10th to 12th grade,SAE Questions,728
9,gemma2,10th to 12th grade,AAVE Questions,602
10,gemma2,College,SAE Questions,1148
11,gemma2,College,AAVE Questions,445
12,gemma2,College graduate,SAE Questions,157
13,gemma2,College graduate,AAVE Questions,29
14,gemma2,Professional,SAE Questions,1
15,gemma2,Professional,AAVE Questions,1
16,qwen2.5,5th grade,SAE Questions,11
17,qwen2.5,5th grade,AAVE Questions,11
18,qwen2.5,6th grade,SAE Questions,65
19,qwen2.5,6th grade,AAVE Questions,82
20,qwen2.5,7th grade,SAE Questions,163
21,qwen2.5,7th grade,AAVE Questions,187
22,qwen2.5,8th & 9th grade,SAE Questions,240
23,qwen2.5,8th & 9th grade,AAVE Questions,375
24,qwen2.5,10th to 12th grade,SAE Questions,459
25,qwen2.5,10th to 12th grade,AAVE Questions,691
26,qwen2.5,College,SAE Questions,1488
27,qwen2.5,College,AAVE Questions,1324
28,qwen2.5,College graduate,SAE Questions,415
29,qwen2.5,College graduate,AAVE Questions,176
30,qwen2.5,Professional,SAE Questions,8
31,qwen2.5,Professional,AAVE Questions,3
32,llama3.2,5th grade,SAE Questions,5
33,llama3.2,5th grade,AAVE Questions,6
34,llama3.2,6th grade,SAE Questions,34
35,llama3.2,6th grade,AAVE Questions,77
36,llama3.2,7th grade,SAE Questions,121
37,llama3.2,7th grade,AAVE Questions,236
38,llama3.2,8th & 9th grade,SAE Questions,247
39,llama3.2,8th & 9th grade,AAVE Questions,541
40,llama3.2,10th to 12th grade,SAE Questions,495
41,llama3.2,10th to 12th grade,AAVE Questions,697
42,llama3.2,College,SAE Questions,1430
43,llama3.2,College,AAVE Questions,1051
44,llama3.2,College graduate,SAE Questions,486
45,llama3.2,College graduate,AAVE Questions,172
46,llama3.2,Professional,SAE Questions,16
47,llama3.2,Professional,AAVE Questions,3
48,llama3.1,5th grade,SAE Questions,2
49,llama3.1,5th grade,AAVE Questions,13
50,llama3.1,6th grade,SAE Questions,35
51,llama3.1,6th grade,AAVE Questions,91
52,llama3.1,7th grade,SAE Questions,150
53,llama3.1,7th grade,AAVE Questions,376
54,llama3.1,8th & 9th grade,SAE Questions,318
55,llama3.1,8th & 9th grade,AAVE Questions,640
56,llama3.1,10th to 12th grade,SAE Questions,658
57,llama3.1,10th to 12th grade,AAVE Questions,745
58,llama3.1,College,SAE Questions,1210
59,llama3.1,College,AAVE Questions,837
60,llama3.1,College graduate,SAE Questions,349
61,llama3.1,College graduate,AAVE Questions,52
62,llama3.1,Professional,SAE Questions,9
63,llama3.1,Professional,AAVE Questions,4
64,gpt3.5,5th grade,SAE Questions,6
65,gpt3.5,5th grade,AAVE Questions,6
66,gpt3.5,6th grade,SAE Questions,35
67,gpt3.5,6th grade,AAVE Questions,69
68,gpt3.5,7th grade,SAE Questions,120
69,gpt3.5,7th grade,AAVE Questions,174
70,gpt3.5,8th & 9th grade,SAE Questions,259
71,gpt3.5,8th & 9th grade,AAVE Questions,399
72,gpt3.5,10th to 12th grade,SAE Questions,483
73,gpt3.5,10th to 12th grade,AAVE Questions,618
74,gpt3.5,College,SAE Questions,1124
75,gpt3.5,College,AAVE Questions,1038
76,gpt3.5,College graduate,SAE Questions,307
77,gpt3.5,College graduate,AAVE Questions,124
78,gpt3.5,Professional,SAE Questions,5
79,gpt3.5,Professional,AAVE Questions,3
80,gpt4,5th grade,SAE Questions,3
81,gpt4,5th grade,AAVE Questions,6
82,gpt4,6th grade,SAE Questions,27
83,gpt4,6th grade,AAVE Questions,48
84,gpt4,7th grade,SAE Questions,91
85,gpt4,7th grade,AAVE Questions,174
86,gpt4,8th & 9th grade,SAE Questions,166
87,gpt4,8th & 9th grade,AAVE Questions,407
88,gpt4,10th to 12th grade,SAE Questions,347
89,gpt4,10th to 12th grade,AAVE Questions,627
90,gpt4,College,SAE Questions,1529
91,gpt4,College,AAVE Questions,1307
92,gpt4,College graduate,SAE Questions,669
93,gpt4,College graduate,AAVE Questions,271
94,gpt4,Professional,SAE Questions,18
95,gpt4,Professional,AAVE Questions,2
96,mistral,5th grade,SAE Questions,1
97,mistral,5th grade,AAVE Questions,1
98,mistral,6th grade,SAE Questions,17
99,mistral,6th grade,AAVE Questions,26
100,mistral,7th grade,SAE Questions,76
101,mistral,7th grade,AAVE Questions,114
102,mistral,8th & 9th grade,SAE Questions,196
103,mistral,8th & 9th grade,AAVE Questions,248
104,mistral,10th to 12th grade,SAE Questions,351
105,mistral,10th to 12th grade,AAVE Questions,476
106,mistral,College,SAE Questions,1344
107,mistral,College,AAVE Questions,1445
108,mistral,College graduate,SAE Questions,777
109,mistral,College graduate,AAVE Questions,485
110,mistral,Professional,SAE Questions,62
111,mistral,Professional,AAVE Questions,21
