model,converter,polite,nuetral
gpt-3.5,none,307,2246
gpt-3.5,phonate,352,2205
gpt-3.5,llm,337,2210
gpt-3.5,multivalue,273,2266
gpt-3.5,phonate+multivalue,406,2166
llama3.1,none,248,2292
llama3.1,phonate,601,1976
llama3.1,llm,489,2074
llama3.1,multivalue,361,2190
llama3.1,phonate+multivalue,516,2041
gpt4,none,288,2258
gpt4,phonate,286,2266
gpt4,llm,357,2199
gpt4,multivalue,285,2262
gpt4,phonate+multivalue,293,2253
llama32,none,260,2590
llama32,phonate,424,2426
llama32,llm,303,2547
llama32,multivalue,429,2421
llama32,phonate+multivalue,401,2449
qwen2.5,none,269,2581
qwen2.5,phonate,255,2595
qwen2.5,llm,287,2563
qwen2.5,multivalue,537,2313
qwen2.5,phonate+multivalue,277,2573
gemma2,none,340,2510
gemma2,phonate,402,2448
gemma2,llm,433,2417
gemma2,multivalue,480,2370
gemma2,phonate+multivalue,386,2464
mistral,none,466,2384
mistral,phonate,404,2446
mistral,llm,420,2430
mistral,multivalue,524,2326
mistral,phonate+multivalue,472,2378
llama3.1 uncensored,llm,562,2288
